# Airfoil polar: DU21_A17
# Source: Timmer & van Rooij AIAA-2003-0352; Re~6e6
# alpha [deg], Cl [-], Cd [-]
alpha_deg,Cl,Cd
-20.00,-0.910290,0.143320
-19.00,-0.915135,0.131280
-18.00,-0.919980,0.119800
-17.00,-0.924825,0.108880
-16.00,-0.929670,0.098520
-15.00,-0.934515,0.088720
-14.00,-0.939360,0.079480
-13.00,-0.944205,0.070800
-12.00,-0.949050,0.062680
-11.00,-0.872100,0.055120
-10.00,-0.775200,0.048120
-9.00,-0.678300,0.041680
-8.00,-0.581400,0.035800
-7.00,-0.484500,0.030480
-6.00,-0.387600,0.025720
-5.00,-0.290700,0.021520
-4.00,-0.193800,0.017880
-3.00,-0.096900,0.014800
-2.00,0.000000,0.012280
-1.00,0.096900,0.010320
0.00,0.193800,0.008920
1.00,0.290700,0.008080
2.00,0.387600,0.007800
3.00,0.484500,0.008080
4.00,0.581400,0.008920
5.00,0.678300,0.010320
6.00,0.775200,0.012280
7.00,0.872100,0.014800
8.00,0.969000,0.017880
9.00,1.065900,0.021520
10.00,1.162800,0.025720
11.00,1.259700,0.030480
12.00,1.356600,0.035800
13.00,1.453500,0.041680
14.00,1.497480,0.052281
15.00,1.492635,0.067281
16.00,1.487790,0.082841
17.00,1.482945,0.098961
18.00,1.478100,0.115641
19.00,1.473255,0.132881
20.00,1.468410,0.150681
21.00,1.463565,0.169041
22.00,1.458720,0.187961
23.00,1.453875,0.207441
24.00,1.449030,0.227481
25.00,1.444185,0.248081
