# Airfoil polar: DU30_A17
# Source: Timmer & van Rooij AIAA-2003-0352; Re~5e6
# alpha [deg], Cl [-], Cd [-]
alpha_deg,Cl,Cd
-20.00,-0.864150,0.178100
-19.00,-0.868770,0.163050
-18.00,-0.873390,0.148700
-17.00,-0.878010,0.135050
-16.00,-0.882630,0.122100
-15.00,-0.887250,0.109850
-14.00,-0.891870,0.098300
-13.00,-0.896490,0.087450
-12.00,-0.877800,0.077300
-11.00,-0.785400,0.067850
-10.00,-0.693000,0.059100
-9.00,-0.600600,0.051050
-8.00,-0.508200,0.043700
-7.00,-0.415800,0.037050
-6.00,-0.323400,0.031100
-5.00,-0.231000,0.025850
-4.00,-0.138600,0.021300
-3.00,-0.046200,0.017450
-2.00,0.046200,0.014300
-1.00,0.138600,0.011850
0.00,0.231000,0.010100
1.00,0.323400,0.009050
2.00,0.415800,0.008700
3.00,0.508200,0.009050
4.00,0.600600,0.010100
5.00,0.693000,0.011850
6.00,0.785400,0.014300
7.00,0.877800,0.017450
8.00,0.970200,0.021300
9.00,1.062600,0.025850
10.00,1.155000,0.031100
11.00,1.247400,0.037050
12.00,1.339800,0.043700
13.00,1.432200,0.051050
14.00,1.456770,0.064693
15.00,1.452150,0.081443
16.00,1.447530,0.098893
17.00,1.442910,0.117043
18.00,1.438290,0.135893
19.00,1.433670,0.155443
20.00,1.429050,0.175693
21.00,1.424430,0.196643
22.00,1.419810,0.218293
23.00,1.415190,0.240643
24.00,1.410570,0.263693
25.00,1.405950,0.287443
